Name,B_Pre,B_Post,C_Pre,C_Post,S_Pre,S_Post
1.jpg,125.64,130.56,43.54,49.67,363.57,563.83
10.jpg,117.94,120.71,30.64,36.02,425.57,658.59
11.jpg,89.04,103.48,44.42,49.11,211.42,337.75
12.jpg,123.9,123.58,46.66,50.59,1078.48,1891.56
13.jpg,110.71,116.02,34.3,37.3,105.84,197.21
14.jpg,99.64,113.92,35.02,40.24,250.48,467.63
15.jpg,98.36,110.58,35.7,38.19,440.5,650.86
16.jpg,126.41,128.86,56.38,58.71,1874.32,3160.09
17.jpg,90.04,104.6,37.77,45.88,410.26,986.78
18.jpg,108.43,111.79,19.93,25.05,63.68,132.33
19.jpg,77.86,92.47,37.79,43.17,142.34,323.51
2.jpg,107.66,116.29,22.38,31.02,59.66,137.34
21.jpg,121.29,131.1,58.9,59.6,1659.04,2529.89
22.jpg,104.91,118.45,46.89,52.01,2043.99,3574.12
23.jpg,70.69,81.22,45.77,53.52,1517.75,2610.51
24.jpg,126.75,130.14,45.84,49.68,1247.55,2465.7
25.jpg,102.51,116.22,50.93,54.72,547.45,943.22
26.jpg,93.79,109.25,35.31,41.0,496.7,950.0
27.jpg,141.67,137.67,41.17,48.81,465.02,717.2
28.jpg,113.52,118.34,49.68,53.69,2527.64,4252.08
29.jpg,134.04,134.35,46.12,50.22,2543.41,4006.01
3.jpg,114.09,117.78,36.46,39.54,252.71,341.46
4.JPG,106.48,110.15,28.42,34.73,99.31,157.08
5.jpg,117.91,121.94,34.88,37.31,700.97,1007.55
6.jpg,109.88,118.34,31.0,34.26,667.37,895.95
7.jpg,127.06,132.37,50.44,53.26,198.74,280.5
